2020-10-09/16:23:29		 wafer_13012020_090817.csv: File Transformed successfully!!
2020-10-09/16:23:30		 wafer_16012020_051629.csv: File Transformed successfully!!
2020-10-09/16:23:31		 wafer_20022020_090716.csv: File Transformed successfully!!
2020-10-09/16:23:32		 wafer_21012020_080913.csv: File Transformed successfully!!
2020-10-09/16:23:34		 wafer_23012020_041211.csv: File Transformed successfully!!
2020-10-09/16:23:35		 wafer_27012020_080911.csv: File Transformed successfully!!
2020-10-09/16:23:37		 wafer_28012020_090817.csv: File Transformed successfully!!
2020-10-09/16:23:38		 wafer_28042020_031911.csv: File Transformed successfully!!
2020-10-09/16:23:38		 wafer_29012020_050617.csv: File Transformed successfully!!
2020-10-09/16:50:34		 wafer_13012020_090817.csv: File Transformed successfully!!
2020-10-09/16:50:35		 wafer_16012020_051629.csv: File Transformed successfully!!
2020-10-09/16:50:35		 wafer_20022020_090716.csv: File Transformed successfully!!
2020-10-09/16:50:37		 wafer_21012020_080913.csv: File Transformed successfully!!
2020-10-09/16:50:38		 wafer_23012020_041211.csv: File Transformed successfully!!
2020-10-09/16:50:39		 wafer_27012020_080911.csv: File Transformed successfully!!
2020-10-09/16:50:42		 wafer_28012020_090817.csv: File Transformed successfully!!
2020-10-09/16:50:45		 wafer_28042020_031911.csv: File Transformed successfully!!
2020-10-09/16:50:46		 wafer_29012020_050617.csv: File Transformed successfully!!
2020-10-15/11:11:38		 wafer_13012020_090817.csv: File Transformed successfully!!
2020-10-15/11:11:39		 wafer_20022020_090716.csv: File Transformed successfully!!
2020-10-15/11:11:39		 wafer_23012020_041211.csv: File Transformed successfully!!
2020-10-15/11:11:41		 wafer_28042020_031911.csv: File Transformed successfully!!
2020-10-15/11:11:42		 wafer_16012020_051629.csv: File Transformed successfully!!
2020-10-15/11:11:42		 wafer_21012020_080913.csv: File Transformed successfully!!
2020-10-15/11:11:43		 wafer_27012020_080911.csv: File Transformed successfully!!
2020-10-15/11:11:43		 wafer_28012020_090817.csv: File Transformed successfully!!
2020-10-15/11:11:44		 wafer_29012020_050617.csv: File Transformed successfully!!
2021-12-08/22:09:35		 wafer_13012020_090817.csv: File Transformed successfully!!
2021-12-08/22:09:48		 wafer_16012020_051629.csv: File Transformed successfully!!
2021-12-08/22:09:48		 wafer_20022020_090716.csv: File Transformed successfully!!
2021-12-08/22:09:49		 wafer_21012020_080913.csv: File Transformed successfully!!
2021-12-08/22:09:49		 wafer_23012020_041211.csv: File Transformed successfully!!
2021-12-08/22:09:50		 wafer_27012020_080911.csv: File Transformed successfully!!
2021-12-08/22:09:50		 wafer_28012020_090817.csv: File Transformed successfully!!
2021-12-08/22:09:51		 wafer_28042020_031911.csv: File Transformed successfully!!
2021-12-08/22:09:51		 wafer_29012020_050617.csv: File Transformed successfully!!
2021-12-09/18:45:45		 wafer_13012020_090817.csv: File Transformed successfully!!
2021-12-09/18:45:45		 wafer_16012020_051629.csv: File Transformed successfully!!
2021-12-09/18:45:45		 wafer_20022020_090716.csv: File Transformed successfully!!
2021-12-09/18:45:46		 wafer_21012020_080913.csv: File Transformed successfully!!
2021-12-09/18:45:46		 wafer_23012020_041211.csv: File Transformed successfully!!
2021-12-09/18:45:47		 wafer_27012020_080911.csv: File Transformed successfully!!
2021-12-09/18:45:47		 wafer_28012020_090817.csv: File Transformed successfully!!
2021-12-09/18:45:48		 wafer_28042020_031911.csv: File Transformed successfully!!
2021-12-09/18:45:48		 wafer_29012020_050617.csv: File Transformed successfully!!
2022-02-02/22:19:03		 wafer_13012020_090817.csv: File Transformed successfully!!
2022-02-02/22:19:04		 wafer_16012020_051629.csv: File Transformed successfully!!
2022-02-02/22:19:05		 wafer_20022020_090716.csv: File Transformed successfully!!
2022-02-02/22:19:06		 wafer_21012020_080913.csv: File Transformed successfully!!
2022-02-02/22:19:07		 wafer_23012020_041211.csv: File Transformed successfully!!
2022-02-02/22:19:07		 wafer_27012020_080911.csv: File Transformed successfully!!
2022-02-02/22:19:09		 wafer_28012020_090817.csv: File Transformed successfully!!
2022-02-02/22:19:10		 wafer_28042020_031911.csv: File Transformed successfully!!
2022-02-02/22:19:11		 wafer_29012020_050617.csv: File Transformed successfully!!
2022-02-03/13:02:06		 wafer_13012020_090817.csv: File Transformed successfully!!
2022-02-03/13:02:07		 wafer_16012020_051629.csv: File Transformed successfully!!
2022-02-03/13:02:07		 wafer_20022020_090716.csv: File Transformed successfully!!
2022-02-03/13:02:09		 wafer_21012020_080913.csv: File Transformed successfully!!
2022-02-03/13:02:10		 wafer_23012020_041211.csv: File Transformed successfully!!
2022-02-03/13:02:11		 wafer_27012020_080911.csv: File Transformed successfully!!
2022-02-03/13:02:13		 wafer_28012020_090817.csv: File Transformed successfully!!
2022-02-03/13:02:15		 wafer_28042020_031911.csv: File Transformed successfully!!
2022-02-03/13:02:16		 wafer_29012020_050617.csv: File Transformed successfully!!
2022-02-03/13:03:49		 wafer_13012020_090817.csv: File Transformed successfully!!
2022-02-03/13:03:50		 wafer_16012020_051629.csv: File Transformed successfully!!
2022-02-03/13:03:50		 wafer_20022020_090716.csv: File Transformed successfully!!
2022-02-03/13:03:51		 wafer_21012020_080913.csv: File Transformed successfully!!
2022-02-03/13:03:53		 wafer_23012020_041211.csv: File Transformed successfully!!
2022-02-03/13:03:53		 wafer_27012020_080911.csv: File Transformed successfully!!
2022-02-03/13:03:55		 wafer_28012020_090817.csv: File Transformed successfully!!
2022-02-03/13:03:56		 wafer_28042020_031911.csv: File Transformed successfully!!
2022-02-03/13:03:57		 wafer_29012020_050617.csv: File Transformed successfully!!
2022-02-03/17:56:47		 wafer_13012020_090817.csv: File Transformed successfully!!
2022-02-03/17:56:49		 wafer_16012020_051629.csv: File Transformed successfully!!
2022-02-03/17:56:51		 wafer_20022020_090716.csv: File Transformed successfully!!
2022-02-03/17:56:53		 wafer_21012020_080913.csv: File Transformed successfully!!
2022-02-03/17:56:55		 wafer_23012020_041211.csv: File Transformed successfully!!
2022-02-03/17:56:56		 wafer_27012020_080911.csv: File Transformed successfully!!
2022-02-03/17:57:02		 wafer_28012020_090817.csv: File Transformed successfully!!
2022-02-03/17:57:04		 wafer_28042020_031911.csv: File Transformed successfully!!
2022-02-03/17:57:06		 wafer_29012020_050617.csv: File Transformed successfully!!
2022-02-03/18:04:10		 wafer_13012020_090817.csv: File Transformed successfully!!
2022-02-03/18:04:17		 wafer_16012020_051629.csv: File Transformed successfully!!
2022-02-03/18:04:26		 wafer_20022020_090716.csv: File Transformed successfully!!
2022-02-03/18:04:32		 wafer_21012020_080913.csv: File Transformed successfully!!
2022-02-03/18:04:39		 wafer_23012020_041211.csv: File Transformed successfully!!
2022-02-03/18:04:44		 wafer_27012020_080911.csv: File Transformed successfully!!
2022-02-03/18:04:52		 wafer_28012020_090817.csv: File Transformed successfully!!
2022-02-03/18:05:00		 wafer_28042020_031911.csv: File Transformed successfully!!
2022-02-03/18:05:05		 wafer_29012020_050617.csv: File Transformed successfully!!
